strategy,period,annualized_return,max_drawdown,sharpe,average_exposure
ret60_f0.6_r40,设计期2018-2023,0.09576512708432672,-0.1802996754998326,0.6677893148879627,0.8522992450240218
ret60_f0.6_r40,验证期2024,0.004674147381185323,-0.12553287349288356,0.11544325152429795,0.7652892561983471
ret60_f0.6_r40,验证期2025-2026-08,0.09335763760986482,-0.17690761172083658,0.6795996216732738,0.8580645161290321
ret60_f0.6_r40,全周期,0.08423013305454652,-0.1802996754998326,0.6009216296818864,0.8433872502378686
ma60_fNone_r5,设计期2018-2023,-0.0012984137773169868,-0.3269492957413975,0.06071709211408522,0.6032944406314344
ma60_fNone_r5,验证期2024,-0.02919814387709674,-0.1253869589306914,-0.13010115239608938,0.5165289256198347
ma60_fNone_r5,验证期2025-2026-08,0.06914693323237553,-0.12621770020065481,0.5687249754767418,0.6153846153846154
ma60_fNone_r5,全周期,0.008537649783541212,-0.3269492957413975,0.13371256550912233,0.5956232159847764
ma60_fNone_r10,设计期2018-2023,0.011707506352908847,-0.2512532406265472,0.1562550182439714,0.6032944406314344
ma60_fNone_r10,验证期2024,-0.06696265575651728,-0.13211249789230795,-0.38435531629834657,0.5785123966942148
ma60_fNone_r10,验证期2025-2026-08,0.040965119471643385,-0.1262177002006546,0.3737564819294789,0.5781637717121588
ma60_fNone_r10,全周期,0.007793919297202523,-0.28585564109480643,0.1284245540644484,0.5956232159847764
ma60_fNone_r20,设计期2018-2023,0.048323829885682956,-0.19014708172693884,0.405877106687598,0.6444749485243652
ma60_fNone_r20,验证期2024,-0.15358050062524953,-0.17089380560310863,-0.9020872157701183,0.6611570247933884
ma60_fNone_r20,验证期2025-2026-08,0.1192177482834269,-0.1262177002006547,0.9271805042812249,0.6029776674937966
ma60_fNone_r20,全周期,0.035641132682977306,-0.28952584933628334,0.31951120174944303,0.6384395813510942
ma60_fNone_r40,设计期2018-2023,0.09324754459839713,-0.16777164804650924,0.7009550816471143,0.6307481125600549
ma60_fNone_r40,验证期2024,-0.08408826832518901,-0.1503770053003448,-0.5427982050539627,0.5785123966942148
ma60_fNone_r40,验证期2025-2026-08,0.10602784825452272,-0.1262177002006547,0.8133797115147061,0.6451612903225806
ma60_fNone_r40,全周期,0.07341205130427952,-0.22875600177722422,0.5770597071781536,0.6274976213130352
ret120_f0.2_r5,设计期2018-2023,0.01879353923473337,-0.32203229172150927,0.20027045216348588,0.8034317089910775
ret120_f0.2_r5,验证期2024,-0.10083820237445629,-0.1516394856905351,-0.6489550707104116,0.7123966942148761
