symbol,first_date,last_date,rows,exchange,ends_before_dataset,current_name,name_marks_delisted
000584.SZ,2018-01-02,2025-07-10,1824,SZ,True,工智退,True
000585.SZ,2018-01-02,2022-05-24,1064,SZ,True,东电退,True
000586.SZ,2018-01-02,2026-09-11,2111,SZ,False,汇源通信,False
000587.SZ,2018-01-02,2023-04-03,1275,SZ,True,*ST金洲,False
000589.SZ,2018-01-02,2026-09-11,2111,SZ,False,贵州轮胎,False
000590.SZ,2018-01-02,2026-09-11,2111,SZ,False,古汉医药,False
000591.SZ,2018-01-02,2026-09-11,2111,SZ,False,太阳能,False
000592.SZ,2018-01-02,2026-09-11,2111,SZ,False,平潭发展,False
000593.SZ,2018-01-02,2026-09-11,2111,SZ,False,德龙汇能,False
000595.SZ,2018-01-02,2026-09-11,2111,SZ,False,新能股份,False
000596.SZ,2018-01-02,2026-09-11,2111,SZ,False,古井贡酒,False
000597.SZ,2018-01-02,2026-09-11,2111,SZ,False,东北制药,False
000598.SZ,2018-01-02,2026-09-11,2111,SZ,False,兴蓉环境,False
000599.SZ,2018-01-02,2026-09-11,2111,SZ,False,青岛双星,False
000600.SZ,2018-01-02,2026-09-11,2111,SZ,False,建投能源,False
000601.SZ,2018-01-02,2026-09-11,2111,SZ,False,韶能股份,False
000603.SZ,2018-01-02,2026-09-11,2111,SZ,False,盛达资源,False
000605.SZ,2018-01-02,2026-09-11,2111,SZ,False,渤海股份,False
000606.SZ,2018-01-02,2023-07-06,1337,SZ,True,顺利退,True
000607.SZ,2018-01-02,2026-09-11,2111,SZ,False,华媒控股,False
000608.SZ,2018-01-02,2026-09-11,2111,SZ,False,阳光股份,False
000609.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST中迪,False
000610.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST西旅,False
000611.SZ,2018-01-02,2022-06-28,1088,SZ,True,天首退,True
000612.SZ,2018-01-02,2026-09-11,2111,SZ,False,焦作万方,False
000613.SZ,2018-01-02,2022-06-29,1089,SZ,True,东海A退,True
000615.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST美谷,False
000616.SZ,2018-01-02,2023-08-23,1371,SZ,True,*ST海投,False
000617.SZ,2018-01-02,2026-09-11,2111,SZ,False,中油资本,False
000619.SZ,2018-01-02,2026-09-11,2111,SZ,False,海螺新材,False
000620.SZ,2018-01-02,2026-09-11,2111,SZ,False,盈新发展,False
000622.SZ,2018-01-02,2025-07-15,1827,SZ,True,恒立退,True
000623.SZ,2018-01-02,2026-09-11,2111,SZ,False,吉林敖东,False
000625.SZ,2018-01-02,2026-09-11,2111,SZ,False,长安汽车,False
000626.SZ,2018-01-02,2026-09-11,2111,SZ,False,远大控股,False
000627.SZ,2018-01-02,2025-09-29,1881,SZ,True,*ST天茂,False
000628.SZ,2018-01-02,2026-09-11,2111,SZ,False,高新发展,False
000629.SZ,2018-01-02,2026-09-11,2111,SZ,False,钒钛股份,False
000630.SZ,2018-01-02,2026-09-11,2111,SZ,False,铜陵有色,False
000631.SZ,2018-01-02,2026-09-11,2111,SZ,False,顺发恒能,False
