date,equity,cash,positions
2025-04-28,31546155.198346462,3296472.9483464626,13
2025-04-29,32324890.878923554,2006645.1289235523,14
2025-04-30,33954191.16982734,3680510.5398273426,13
2025-05-06,35216320.125937484,12732284.695937486,10
2025-05-07,34989490.93694331,17656714.666943304,8
2025-05-08,35078753.6672987,24374444.357298695,5
2025-05-09,34641644.55729869,24374444.357298695,5
2025-05-12,34954871.754669175,20901167.23466917,6
2025-05-13,34878336.38466917,20901167.23466917,6
2025-05-14,34877861.71466917,20901167.23466917,6
2025-05-15,34534091.31508446,17416023.09508446,7
2025-05-16,34476165.685418695,13967867.705418702,8
2025-05-19,34523951.99304629,15813240.103046292,7
2025-05-20,34850526.99304629,15813240.103046292,7
2025-05-21,34941963.49088751,13141516.620887514,7
2025-05-22,34737192.36566119,14772487.335661193,6
2025-05-23,34130519.1856612,14772487.335661193,6
2025-05-26,34092277.70720286,17843613.13720286,5
2025-05-27,34198620.22720286,17843613.13720286,5
2025-05-28,34059615.2141593,21037444.584159303,4
2025-05-29,34511951.845159024,23772248.585159022,3
2025-05-30,34199148.015159026,23772248.585159022,3
2025-06-03,34597665.53324474,20332832.973244738,4
2025-06-04,34508271.33324474,20332832.973244738,4
2025-06-05,34678408.35324474,20332832.973244738,4
2025-06-06,34920281.20324474,20332832.973244738,4
2025-06-09,35024066.18062142,16843796.470621422,5
2025-06-10,35170001.60062142,16843796.470621422,5
2025-06-11,35228701.25838593,9799112.85838592,7
2025-06-12,35218210.348385915,9799112.85838592,7
2025-06-13,34713904.554692924,12011713.634692922,7
2025-06-16,34733070.93555391,18738369.785553906,5
2025-06-17,34876747.88035256,18431934.54035256,5
2025-06-18,34879362.69035256,18431934.54035256,5
2025-06-19,34716421.07035256,18431934.54035256,5
2025-06-20,34721540.20326355,17018318.62326355,5
2025-06-23,34910676.73646882,20266098.27646882,4
2025-06-24,35069624.53646882,20266098.27646882,4
2025-06-25,35286754.54806622,16757551.988066224,5
2025-06-26,35128791.46806622,16757551.988066224,5
2025-06-27,35718986.418066226,16757551.988066224,5
2025-06-30,36074529.18806622,16757551.988066224,5
2025-07-01,35962894.20203964,9536416.302039636,7
2025-07-02,35497787.83393526,5933339.873935263,8
2025-07-03,35737698.46393526,5933339.873935263,8
2025-07-04,35218759.18393526,5933339.873935263,8
2025-07-07,35334955.43393526,5933339.873935263,8
2025-07-08,36039116.82393526,5933339.873935263,8
2025-07-09,36009304.147085726,10061302.587085728,7
2025-07-10,36038090.80708572,10061302.587085728,7
2025-07-11,36377747.97379489,13864261.903794898,6
2025-07-14,36448644.5037949,13864261.903794898,6
2025-07-15,36958341.743794896,13864261.903794898,6
2025-07-16,37239392.49292992,13329596.042929923,7
2025-07-17,37435797.82211214,19363216.722112145,5
2025-07-18,37582469.206679605,16549177.696679605,6
2025-07-21,37628202.99913646,20361690.09913646,5
2025-07-22,37549543.49913646,20361690.09913646,5
2025-07-23,37719235.12913646,20361690.09913646,5
2025-07-24,38087166.07913646,20361690.09913646,5
2025-07-25,38081052.1009398,24664457.780939803,4
2025-07-28,38080193.5009398,24664457.780939803,4
2025-07-29,38270785.120939806,24664457.780939803,4
2025-07-30,38247957.9209398,24664457.780939803,4
2025-07-31,38076230.33482835,28347856.514828347,3
2025-08-01,38042411.45599397,31936379.595993973,2
2025-08-04,38228891.41599397,31936379.595993973,2
2025-08-05,38214284.35599397,31936379.595993973,2
