date,equity_local,cash_local,holdings_local,equity_platform,cash_platform,holdings_platform,equity_gap,equity_gap_pct
2022-03-24,13984293.663039204,295102.66303920257,32,13175073.67,106.67,33,809219.9930392038,0.06142052889478866
2022-03-25,13916406.663039204,295102.66303920257,32,13182392.67,106.67,33,734013.9930392038,0.05568139346278511
2022-03-28,13899886.663039204,295102.66303920257,32,13145783.67,106.67,33,754102.9930392038,0.057364628231342474
2022-03-29,13695320.663039204,295102.66303920257,32,13038936.67,106.67,33,656383.9930392038,0.0503403007201817
2022-03-30,13982547.663039204,295102.66303920257,32,13365791.67,106.67,33,616755.9930392038,0.04614436677353995
2022-03-31,13906225.663039204,295102.66303920257,32,13326100.67,106.67,33,580124.9930392038,0.043532988936905825
2022-04-01,13843797.456654405,643348.456654405,30,13199325.07,1360140.07,27,644472.3866544049,0.04882616218909486
2022-04-06,13845947.456654405,643348.456654405,30,13119342.07,1360140.07,27,726605.3866544049,0.05538428549065233
2022-04-07,13461202.456654405,643348.456654405,30,12788814.07,1360140.07,27,672388.3866544049,0.05257628916755408
2022-04-08,13259805.456654405,643348.456654405,30,12690721.07,1360140.07,27,569084.3866544049,0.04484255729169573
2022-04-11,12796227.456654405,643348.456654405,30,12146497.07,1360140.07,27,649730.3866544049,0.05349117386766089
2022-04-12,13016616.456654405,643348.456654405,30,12331117.07,1360140.07,27,685499.3866544049,0.055591020891540666
2022-04-13,12717027.456654405,643348.456654405,30,12108165.07,1360140.07,27,608862.3866544049,0.05028527304793373
2022-04-14,12820901.456654405,643348.456654405,30,12280087.07,1360140.07,27,540814.3866544049,0.044039947239104205
2022-04-15,12724286.456654405,643348.456654405,30,12329733.07,1360140.07,27,394553.3866544049,0.032000156403581004
2022-04-18,12948319.456654405,643348.456654405,30,12586022.07,1360140.07,27,362297.3866544049,0.028785694529964045
2022-04-19,12922019.456654405,643348.456654405,30,12566963.07,1360140.07,27,355056.3866544049,0.02825315747939139
2022-04-20,12742824.456654405,643348.456654405,30,12454244.07,1360140.07,27,288580.3866544049,0.023171248695016633
2022-04-21,12220632.456654405,643348.456654405,30,12017504.07,1360140.07,27,203128.38665440492,0.016902710036228452
2022-04-22,12110716.456654405,643348.456654405,30,12020891.07,1360140.07,27,89825.38665440492,0.007472439949030019
2022-04-25,11202434.456654405,643348.456654405,30,11250835.07,1360140.07,27,-48400.61334559508,-0.004301957414223789
2022-04-26,10706784.456654405,643348.456654405,30,10748222.07,1360140.07,27,-41437.61334559508,-0.0038552993300402516
2022-04-27,11132797.456654405,643348.456654405,30,11113814.07,1360140.07,27,18983.386654404923,0.0017080892783376544
2022-04-28,11088687.456654405,643348.456654405,30,11100197.07,1360140.07,27,-11509.613345595077,-0.0010368836943176474
2022-04-29,11640031.456654405,643348.456654405,30,11655618.07,1360140.07,27,-15586.613345595077,-0.001337261846775295
2022-05-05,11972075.780986605,260430.78098660504,23,11914290.41,124416.41,23,57785.37098660506,0.0048500891784628575
2022-05-06,11847114.780986605,260430.78098660504,23,11819285.41,124416.41,23,27829.370986605063,0.002354573057611331
2022-05-09,11962670.780986605,260430.78098660504,23,11939089.41,124416.41,23,23581.370986605063,0.001975139826564387
2022-05-10,12341826.780986605,260430.78098660504,23,12357107.41,124416.41,23,-15280.629013394937,-0.0012365862419411178
2022-05-11,12690965.780986605,260430.78098660504,23,12582841.41,132786.41,23,108124.37098660506,0.008593001172269021
2022-05-12,12702528.780986605,260430.78098660504,23,12620307.41,132786.41,23,82221.37098660506,0.006515005404817309
2022-05-13,12858767.780986605,260430.78098660504,23,12711227.41,132786.41,23,147540.37098660506,0.011607090820398236
2022-05-16,12742178.780986605,260430.78098660504,23,12628476.41,132786.41,23,113702.37098660506,0.009003649157278248
2022-05-17,12920619.780986605,271080.780986605,23,12823687.41,132786.41,23,96932.37098660506,0.007558853228987417
