name,symbol,market,industry,ipo_date,region,connect
燕东微,688172.SH,科创板,半导体,2022-12-16,北京,沪股通
希荻微,688173.SH,科创板,半导体,2022-01-21,广东,沪股通
高凌信息,688175.SH,科创板,通信设备,2022-03-15,广东,N
亚虹医药,688176.SH,科创板,化学制药,2022-01-07,江苏,沪股通
百奥泰,688177.SH,科创板,生物制药,2020-02-21,广东,沪股通
万德斯,688178.SH,科创板,环境保护,2020-01-14,江苏,N
阿拉丁,688179.SH,科创板,化学制药,2020-10-26,上海,沪股通
君实生物,688180.SH,科创板,生物制药,2020-07-15,上海,沪股通
八亿时空,688181.SH,科创板,元器件,2020-01-06,北京,N
灿勤科技,688182.SH,科创板,通信设备,2021-11-16,江苏,沪股通
生益电子,688183.SH,科创板,元器件,2021-02-25,广东,沪股通
ST帕瓦,688184.SH,科创板,电气设备,2022-09-19,浙江,N
康希诺,688185.SH,科创板,生物制药,2020-08-13,天津,沪股通
广大特材,688186.SH,科创板,特种钢,2020-02-11,江苏,沪股通
时代电气,688187.SH,科创板,运输设备,2021-09-07,湖南,沪股通
柏楚电子,688188.SH,科创板,专用机械,2019-08-08,上海,沪股通
ST南新,688189.SH,科创板,化学制药,2020-03-26,湖南,N
